Caracteres (18);Caracteres (20);Caracteres (9);dd/mm/aaaa;Caracteres (2);Caracteres (1);Numerico (18,2);aaaa;Caracteres (10);Numerico (18,2);0 ou 1;Caracteres (40);0 ou 1;0 ou 1;Numerico (18,2);dd/mm/aaaa
Chassi;Renavam;Placa;Data Cobranca;Uf Cobranca;Tipo Cobranca;Valor Divida;Ano Exercicio;CDA;Valor Custas;Debito Protesto;Nome Cartorio;Divida Ativa Serasa;Protesto Serasa;Valor Debito Tota;Data das Custas
11111111111;11111119;abc1234;21/09/2017;SP;B;91348,5;2017;64654654;9288,95;1;Cartório TAL;1;1;91699,99;21/09/2017
1111111111;11111111;abc1234;21/09/2017;SP;B;1348,5;2017;64654654;288,95;1;Cartório TAL;1;1;1699,99;21/09/2017
1111111112;11111112;abc1234;21/09/2017;SP;B;21348,5;2017;64654654;2288,95;1;Cartório TAL;1;1;21699,99;21/09/2017
1111111113;11111113;abc1234;21/09/2017;SP;B;31348,5;2017;64654654;3288,95;1;Cartório TAL;1;1;31699,99;21/09/2017
1111111114;11111114;abc1234;21/09/2017;SP;B;41348,5;2017;64654654;4288,95;1;Cartório TAL;1;1;41699,99;21/09/2017
1111111115;11111115;abc1234;21/09/2017;SP;B;51348,5;2017;64654654;5288,95;1;Cartório TAL;1;1;51699,99;21/09/2017
1111111116;11111116;abc1234;21/09/2017;SP;B;61348,5;2017;64654654;6288,95;1;Cartório TAL;1;1;61699,99;21/09/2017
1111111117;11111117;abc1234;21/09/2017;SP;B;71348,5;2017;64654654;7288,95;1;Cartório TAL;1;1;71699,99;21/09/2017
1111111118;11111118;abc1234;21/09/2017;SP;B;81348,5;2017;64654654;8288,95;1;Cartório TAL;1;1;81699,99;21/09/2017
1111111119;11111119;abc1234;21/09/2017;SP;B;91348,5;2017;64654654;9288,95;1;Cartório TAL;1;1;91699,99;21/09/2017
1111111110;11111119;abc1234;21/09/2017;SP;B;91348,5;2017;64654654;9288,95;1;Cartório TAL;1;1;91699,99;21/09/2017
111111110;11111119;abc1234;21/09/2017;SP;B;91348,5;2017;64654654;9288,95;1;Cartório TAL;1;1;91699,99;21/09/2017
